dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ItalyPowerDemand,0.966958,0.950437,0.961127,0.968902,0.968902,0.969874,0.962099,0.969874,0.941691,0.965986,0.958212,0.965015,0.964043,0.966958,0.962099,0.966958,0.949466,0.968902,0.965986,0.96793,0.961127,0.965986,0.960155,0.970845,0.955296,0.964043,0.968902,0.954325,0.95724,0.965015
KeplerLightCurves,0.967419,0.944862,0.947368,0.929825,0.9599,0.949875,0.954887,0.929825,0.957393,0.954887,0.942356,0.947368,0.952381,0.9599,0.962406,0.954887,0.9599,0.947368,0.942356,0.937343,0.949875,0.932331,0.947368,0.93985,0.937343,0.937343,0.9599,0.934837,0.962406,0.942356
LargeKitchenAppliances,0.829333,0.885333,0.888,0.856,0.866667,0.837333,0.877333,0.896,0.853333,0.898667,0.898667,0.845333,0.877333,0.882667,0.917333,0.866667,0.898667,0.885333,0.858667,0.885333,0.88,0.890667,0.874667,0.856,0.901333,0.869333,0.888,0.896,0.88,0.872
Lightning2,0.770492,0.819672,0.721311,0.754098,0.688525,0.819672,0.770492,0.770492,0.688525,0.770492,0.803279,0.770492,0.770492,0.836066,0.819672,0.819672,0.868852,0.836066,0.786885,0.754098,0.786885,0.704918,0.786885,0.885246,0.786885,0.819672,0.770492,0.803279,0.737705,0.803279
Lightning7,0.780822,0.739726,0.643836,0.712329,0.712329,0.726027,0.69863,0.739726,0.739726,0.69863,0.712329,0.794521,0.808219,0.69863,0.712329,0.780822,0.767123,0.821918,0.767123,0.671233,0.794521,0.753425,0.821918,0.767123,0.767123,0.753425,0.726027,0.753425,0.69863,0.726027
Mallat,0.947974,0.943284,0.93177,0.955224,0.968443,0.970149,0.977825,0.967164,0.976546,0.993177,0.957783,0.950533,0.977399,0.965458,0.973987,0.946695,0.953092,0.941578,0.970576,0.977399,0.993177,0.976119,0.96162,0.970576,0.964606,0.987633,0.97484,0.965458,0.953945,0.965458
Meat,0.95,0.966667,1.0,0.966667,1.0,0.983333,1.0,0.983333,0.966667,1.0,1.0,0.966667,1.0,0.966667,1.0,0.966667,1.0,0.983333,1.0,1.0,1.0,1.0,1.0,0.966667,1.0,0.966667,0.966667,0.983333,0.983333,0.983333
MedicalImages,0.819737,0.797368,0.821053,0.817105,0.810526,0.819737,0.792105,0.805263,0.805263,0.806579,0.826316,0.834211,0.789474,0.814474,0.830263,0.780263,0.807895,0.807895,0.806579,0.809211,0.809211,0.818421,0.815789,0.826316,0.785526,0.826316,0.802632,0.822368,0.8,0.839474
MelbournePedestrianNmv,0.974558,0.967227,0.970677,0.965071,0.96809,0.971539,0.974989,0.968521,0.973696,0.969383,0.967658,0.971539,0.971108,0.963777,0.966796,0.973696,0.967227,0.971108,0.973264,0.971108,0.977145,0.970246,0.965071,0.969383,0.970677,0.973264,0.969815,0.978008,0.968521,0.973264
MiddlePhalanxOutlineAgeGroup,0.623377,0.688312,0.746753,0.694805,0.701299,0.733766,0.707792,0.727273,0.701299,0.623377,0.675325,0.707792,0.733766,0.681818,0.746753,0.694805,0.714286,0.707792,0.655844,0.707792,0.733766,0.688312,0.720779,0.714286,0.662338,0.694805,0.662338,0.720779,0.746753,0.727273
MiddlePhalanxOutlineCorrect,0.838488,0.817869,0.841924,0.810997,0.841924,0.835052,0.821306,0.817869,0.841924,0.821306,0.828179,0.828179,0.835052,0.838488,0.80756,0.824742,0.845361,0.831615,0.821306,0.835052,0.85567,0.865979,0.828179,0.804124,0.817869,0.810997,0.804124,0.810997,0.821306,0.817869
